                                                                                                                                                   
{'loss': 5.2906, 'learning_rate': 2e-05, 'epoch': 0.1}
{'loss': 5.323, 'learning_rate': 2e-05, 'epoch': 0.11}
{'loss': 5.3761, 'learning_rate': 2e-05, 'epoch': 0.11}
{'loss': 5.1711, 'learning_rate': 2e-05, 'epoch': 0.11}
{'loss': 5.4792, 'learning_rate': 2e-05, 'epoch': 0.11}
{'loss': 5.2506, 'learning_rate': 2e-05, 'epoch': 0.11}
{'loss': 5.303, 'learning_rate': 2e-05, 'epoch': 0.11}
{'loss': 5.2498, 'learning_rate': 2e-05, 'epoch': 0.11}
{'loss': 5.1439, 'learning_rate': 2e-05, 'epoch': 0.12}
{'loss': 5.0718, 'learning_rate': 2e-05, 'epoch': 0.12}
{'loss': 10.9629, 'learning_rate': 2e-05, 'epoch': 0.12}
{'loss': 5.1469, 'learning_rate': 2e-05, 'epoch': 0.12}
